section,field_path,data_type,required,nullable,cardinality,producer,authority,mutability,state_vocabulary,description,conditions
system_references,system_references.provider_request_ids,array<string>,yes,yes,zero_or_more,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Approved provider request IDs.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.a3_handoff_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Future A3 handoff ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.a14_handoff_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Future A14 handoff ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.requalification_return_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,A1 requalification return ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.a1_score_revision_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Returned A1 score revision ID.,Null does not mean checked or absent; a separate status is required.
governance,governance.processing_purpose,string,yes,no,one,Runtime preflight,Approved A2 purpose,immutable_revision,,Approved processing purpose.,
governance,governance.contains_personal_data,boolean,yes,no,one,Governance classifier,Record content,deterministic_derived,,Whether the record contains personal data.,
governance,governance.data_categories,array<string>,yes,no,zero_or_more,Governance classifier,Approved data policy,deterministic_derived,,Personal/business data categories present.,
governance,governance.source_register_version,string,yes,yes,zero_or_one,Runtime preflight,Approved A2 source register,immutable_revision,,Null means no live source research is authorised.,
governance,governance.source_terms_review_status,enum,yes,no,one,Runtime preflight,A2 source register,deterministic_derived,source_policy_status,Overall source-rights readiness for the run.,
governance,governance.retention_policy_version,string,yes,yes,zero_or_one,Runtime preflight,Approved retention policy,immutable_revision,,Retention policy version; missing policy may block real data.,
governance,governance.approval_matrix_version,string,yes,yes,zero_or_one,Runtime preflight,Approved matrix,immutable_revision,,Approval matrix applied.,
governance,governance.consent_check_status,enum,yes,no,one,HubSpot connector/policy,Authoritative CRM,external_authoritative_mirror,outreach_eligibility_status,Consent/outreach check visibility; unavailable without CRM.,
governance,governance.outreach_authorized,boolean,yes,no,one,Guardrail,Approved action policy,immutable_revision,,Must remain false in A2 foundation/no-integration scope.,
governance,governance.crm_write_authorized,boolean,yes,no,one,Guardrail,Approved action policy,immutable_revision,,Must remain false until guarded integration approval.,
governance,governance.provider_use_authorized,boolean,yes,no,one,Guardrail,Provider approval register,immutable_revision,,False until provider/account/data route/budget approval.,
governance,governance.policy_limitations,array<string>,yes,no,zero_or_more,Runtime/reviewer,Applied policies,append_only_history,,Visible unresolved governance limitations.,
audit_and_consumption,audit_and_consumption.events,array<object>,yes,no,one_or_more,Runtime/workflow/connectors,Audit layer,append_only_history,,Chronological audit events.,
audit_and_consumption,audit_and_consumption.events[].event_id,string,conditional,no,one,Audit layer,Audit layer,immutable_revision,,Unique event ID.,
audit_and_consumption,audit_and_consumption.events[].event_type,string,conditional,no,one,Audit layer,Audit event catalogue,immutable_revision,,"Run, tool, review, transition or external-action event type.",
audit_and_consumption,audit_and_consumption.events[].actor,object,conditional,no,one,Audit layer,Verified actor identity,immutable_revision,,Actor/profile/workflow responsible.,
audit_and_consumption,audit_and_consumption.events[].timestamp,datetime,conditional,no,one,Audit layer,Audit clock,immutable_revision,,Event timestamp.,
audit_and_consumption,audit_and_consumption.events[].input_references,array<string>,conditional,no,zero_or_more,Audit layer,Artifact/source refs,immutable_revision,,Input artifact/source references.,
audit_and_consumption,audit_and_consumption.events[].output_references,array<string>,conditional,no,zero_or_more,Audit layer,Artifact refs,immutable_revision,,Output references.,
audit_and_consumption,audit_and_consumption.events[].model,string,conditional,yes,zero_or_one,Runtime,Gateway metadata,immutable_revision,,Logical/actual model reference when applicable.,
audit_and_consumption,audit_and_consumption.events[].tools,array<string>,conditional,no,zero_or_more,Runtime,Tool metadata,immutable_revision,,Tools/providers used.,
audit_and_consumption,audit_and_consumption.events[].usage,object,conditional,yes,zero_or_one,Runtime/provider,Usage receipt,append_only_history,,"Tokens, calls, credits and cost metadata.",
audit_and_consumption,audit_and_consumption.events[].external_action,object,conditional,yes,zero_or_one,Connector/workflow,External receipt,append_only_history,,"External action, approval, result and retry metadata.",
audit_and_consumption,audit_and_consumption.total_usage,object,yes,no,one,Deterministic aggregator,Audit events,deterministic_derived,,Revision/run aggregate usage and cost status.,
audit_and_consumption,audit_and_consumption.errors,array<object>,yes,no,zero_or_more,Runtime/workflow,Audit events,append_only_history,,"Structured errors, retries and blocked reasons.",
